# i_sweep, z, m_z
   25,     5, .7000
   25,     6, 1.0000
   25,     7, .6000
   25,     8, .5000
   25,     9, .8000
   25,    10, .8000
   25,    11, .4000
   25,    12, .6000
   25,    13, .8000
   25,    14, 1.0000
   25,    15, 1.0000
   25,    16, .9000
   25,    17, .2000
   25,    18, .3000
   25,    19, -.4000
   25,    20, -.7000

   26,     1, 1.0000
   26,     2, .7000
   26,     3, .7000
   26,     4, .8000
   26,     5, .8000
   26,     6, .7000
   26,     7, .6000
   26,     8, .8000
   26,     9, .9000
   26,    10, .7000
   26,    11, .6000
   26,    12, .7000
   26,    13, 1.0000
   26,    14, 1.0000
   26,    15, .8000
   26,    16, .8000
   26,    17, .4000
   26,    18, .0000
   26,    19, -.1000
   26,    20, -.4000

   27,     1, .9000
   27,     2, .6000
   27,     3, .8000
   27,     4, 1.0000
   27,     5, .6000
   27,     6, .9000
   27,     7, .5000
   27,     8, 1.0000
   27,     9, .9000
   27,    10, 1.0000
   27,    11, .8000
   27,    12, .9000
   27,    13, 1.0000
   27,    14, .8000
   27,    15, .7000
   27,    16, .9000
   27,    17, .6000
   27,    18, .0000
   27,    19, -.2000
   27,    20, -.6000

   28,     1, .8000
   28,     2, .5000
   28,     3, .9000
   28,     4, .9000
   28,     5, .7000
   28,     6, .7000
   28,     7, .5000
   28,     8, .7000
   28,     9, .6000
   28,    10, .9000
   28,    11, .6000
   28,    12, .7000
   28,    13, .9000
   28,    14, .6000
   28,    15, .7000
   28,    16, .4000
   28,    17, .1000
   28,    18, -.1000
   28,    19, -.3000
   28,    20, -.7000

   29,     1, .6000
   29,     2, .4000
   29,     3, .8000
   29,     4, .8000
   29,     5, .6000
   29,     6, .6000
   29,     7, .6000
   29,     8, .8000
   29,     9, .9000
   29,    10, .9000
   29,    11, .7000
   29,    12, 1.0000
   29,    13, .9000
   29,    14, .7000
   29,    15, .7000
   29,    16, .8000
   29,    17, .2000
   29,    18, .3000
   29,    19, -.3000
   29,    20, -.7000

   30,     1, .7000
   30,     2, .6000
   30,     3, .9000
   30,     4, 1.0000
   30,     5, .7000
   30,     6, .6000
   30,     7, .9000
   30,     8, .9000
   30,     9, .8000
   30,    10, .7000
   30,    11, .7000
   30,    12, .7000
   30,    13, .9000
   30,    14, .7000
   30,    15, .6000
   30,    16, .9000
   30,    17, .3000
   30,    18, .3000
   30,    19, -.2000
   30,    20, -.7000

   31,     1, .8000
   31,     2, .8000
   31,     3, .8000
   31,     4, .9000
   31,     5, .8000
   31,     6, .7000
   31,     7, .7000
   31,     8, 1.0000
   31,     9, .9000
   31,    10, .8000
   31,    11, .8000
   31,    12, .8000
   31,    13, .8000
   31,    14, .7000
   31,    15, .8000
   31,    16, .4000
   31,    17, .5000
   31,    18, -.1000
   31,    19, -.1000
   31,    20, -.6000

   32,     1, .6000
   32,     2, .7000
   32,     3, .9000
   32,     4, .9000
   32,     5, .7000
   32,     6, .8000
   32,     7, .8000
   32,     8, 1.0000
   32,     9, 1.0000
   32,    10, .8000
   32,    11, .8000
   32,    12, .8000
   32,    13, .7000
   32,    14, .8000
   32,    15, .6000
   32,    16, .1000
   32,    17, .1000
   32,    18, -.3000
   32,    19, -.5000
   32,    20, -.5000

   33,     1, .9000
   33,     2, .7000
   33,     3, .5000
   33,     4, .9000
   33,     5, .8000
   33,     6, .5000
   33,     7, 1.0000
   33,     8, .8000
   33,     9, .8000
   33,    10, .8000
   33,    11, 1.0000
   33,    12, .9000
   33,    13, .7000
   33,    14, 1.0000
   33,    15, .6000
   33,    16, .3000
   33,    17, .1000
   33,    18, -.3000
   33,    19, -.5000
   33,    20, -.6000

   34,     1, .9000
   34,     2, .8000
   34,     3, .6000
   34,     4, .9000
   34,     5, .5000
   34,     6, .6000
   34,     7, .8000
   34,     8, .8000
   34,     9, .9000
   34,    10, 1.0000
   34,    11, 1.0000
   34,    12, 1.0000
   34,    13, .8000
   34,    14, .8000
   34,    15, .9000
   34,    16, .2000
   34,    17, -.2000
   34,    18, -.2000
   34,    19, -.3000
   34,    20, -.7000

   35,     1, .9000
   35,     2, .8000
   35,     3, .9000
   35,     4, .9000
   35,     5, .6000
   35,     6, .8000
   35,     7, .7000
   35,     8, .9000
   35,     9, .8000
   35,    10, 1.0000
   35,    11, .6000
   35,    12, 1.0000
   35,    13, .9000
   35,    14, .5000
   35,    15, .5000
   35,    16, .4000
   35,    17, -.1000
   35,    18, .0000
   35,    19, -.4000
   35,    20, -.5000

   36,     1, 1.0000
   36,     2, .8000
   36,     3, .7000
   36,     4, .9000
   36,     5, .8000
   36,     6, .9000
   36,     7, .9000
   36,     8, .9000
   36,     9, .9000
   36,    10, .8000
   36,    11, .7000
   36,    12, 1.0000
   36,    13, .8000
   36,    14, .8000
   36,    15, .5000
   36,    16, .4000
   36,    17, .2000
   36,    18, .0000
   36,    19, -.3000
   36,    20, -.2000

   37,     1, .9000
   37,     2, .9000
   37,     3, .8000
   37,     4, 1.0000
   37,     5, .7000
   37,     6, .8000
   37,     7, 1.0000
   37,     8, .9000
   37,     9, .8000
   37,    10, .4000
   37,    11, .5000
   37,    12, .8000
   37,    13, .7000
   37,    14, .6000
   37,    15, .7000
   37,    16, .5000
   37,    17, .4000
   37,    18, -.1000
   37,    19, -.2000
   37,    20, -.2000

   38,     1, 1.0000
   38,     2, .8000
   38,     3, .8000
   38,     4, 1.0000
   38,     5, .5000
   38,     6, .8000
   38,     7, .8000
   38,     8, .9000
   38,     9, .7000
   38,    10, .7000
   38,    11, .6000
   38,    12, .6000
   38,    13, .4000
   38,    14, .4000
   38,    15, .8000
   38,    16, .7000
   38,    17, .3000
   38,    18, -.1000
   38,    19, -.7000
   38,    20, -.9000

   39,     1, 1.0000
   39,     2, .6000
   39,     3, .7000
   39,     4, .7000
   39,     5, .9000
   39,     6, .8000
   39,     7, .5000
   39,     8, .8000
   39,     9, .4000
   39,    10, .2000
   39,    11, .7000
   39,    12, .9000
   39,    13, .3000
   39,    14, .6000
   39,    15, .9000
   39,    16, .7000
   39,    17, .4000
   39,    18, .0000
   39,    19, -.2000
   39,    20, -.8000

   40,     1, .9000
   40,     2, .7000
   40,     3, .7000
   40,     4, .5000
   40,     5, .8000
   40,     6, .8000
   40,     7, .8000
   40,     8, .7000
   40,     9, .9000
   40,    10, .9000
   40,    11, .8000
   40,    12, .6000
   40,    13, .7000
   40,    14, .6000
   40,    15, .8000
   40,    16, .8000
   40,    17, .2000
   40,    18, -.1000
   40,    19, -.3000
   40,    20, -.8000

   41,     1, 1.0000
   41,     2, .6000
   41,     3, .4000
   41,     4, .9000
   41,     5, .7000
   41,     6, 1.0000
   41,     7, .9000
   41,     8, 1.0000
   41,     9, .7000
   41,    10, 1.0000
   41,    11, .8000
   41,    12, .6000
   41,    13, .5000
   41,    14, .8000
   41,    15, .7000
